numero_puntos,t_gift_wrapping,t_incremental,t_incremental_nosort,igual_gw_inc,igual_gw_incns,igual_inc_incns,n_cupula_gw,n_cupula_inc,n_cupula_incns
70000,0.00658396,0.010695,0.00372528,1,1,1,28,28,28
70000,0.00723539,0.0106741,0.00369826,1,1,1,30,30,30
70000,0.0078743,0.0106448,0.00369139,1,1,1,34,34,34
70000,0.00660512,0.0107038,0.00370112,1,1,1,28,28,28
70000,0.00680973,0.0107387,0.00372405,1,1,1,29,29,29
70000,0.00701392,0.010746,0.00370338,1,1,1,30,30,30
75000,0.00664224,0.0116889,0.00395489,1,1,1,26,26,26
75000,0.00801613,0.0114766,0.00389304,1,1,1,32,32,32
75000,0.00838956,0.011497,0.0039666,1,1,1,33,33,33
75000,0.0082223,0.0114803,0.00401775,1,1,1,33,33,33
75000,0.00635963,0.011502,0.00400704,1,1,1,25,25,25
75000,0.00751042,0.0115321,0.00396866,1,1,1,30,30,30
75000,0.00784013,0.011531,0.00394863,1,1,1,30,30,30
75000,0.00837548,0.0115494,0.0039597,1,1,1,33,33,33
75000,0.0084712,0.0115219,0.0039529,1,1,1,34,34,34
75000,0.00704857,0.011562,0.0039947,1,1,1,28,28,28
80000,0.00938001,0.0127326,0.00425385,1,1,1,35,35,35
80000,0.00731091,0.0122495,0.00419619,1,1,1,27,27,27
80000,0.00861125,0.0123432,0.00424041,1,1,1,32,32,32
80000,0.00921114,0.0123337,0.00415672,1,1,1,34,34,34
80000,0.00909619,0.0122376,0.00416917,1,1,1,34,34,34
80000,0.00777575,0.0123397,0.00418236,1,1,1,29,29,29
80000,0.00903419,0.0123134,0.00416753,1,1,1,33,33,33
80000,0.00761561,0.0123645,0.00421057,1,1,1,28,28,28
80000,0.00951032,0.0123025,0.0041732,1,1,1,36,36,36
80000,0.0085259,0.0122618,0.00420477,1,1,1,31,31,31
85000,0.00980948,0.0133287,0.00446519,1,1,1,34,34,34
85000,0.00807749,0.0130429,0.00442824,1,1,1,28,28,28
85000,0.00851977,0.0130843,0.00443022,1,1,1,30,30,30
85000,0.00921347,0.0131819,0.00442224,1,1,1,32,32,32
85000,0.0081972,0.0131724,0.00444558,1,1,1,28,28,28
85000,0.00582336,0.013068,0.00444226,1,1,1,19,19,19
85000,0.00895535,0.01303,0.00444653,1,1,1,31,31,31
85000,0.00747904,0.0130848,0.00444463,1,1,1,26,26,26
85000,0.00816721,0.0130917,0.00444918,1,1,1,28,28,28
85000,0.00826575,0.0131387,0.00442339,1,1,1,29,29,29
90000,0.0100184,0.0142642,0.00469537,1,1,1,33,33,33
90000,0.0106098,0.0138809,0.00470505,1,1,1,35,35,35
90000,0.00792181,0.013796,0.0047752,1,1,1,26,26,26
90000,0.00930488,0.0139212,0.00470386,1,1,1,31,31,31
90000,0.0090062,0.0139164,0.00470162,1,1,1,30,30,30
90000,0.00811216,0.0138915,0.00471938,1,1,1,27,27,27
90000,0.00762724,0.0139479,0.0046976,1,1,1,25,25,25
90000,0.0076484,0.0138742,0.00468195,1,1,1,25,25,25
90000,0.0101737,0.0139385,0.00467588,1,1,1,34,34,34
90000,0.00711378,0.0138502,0.00470872,1,1,1,23,23,23
95000,0.00899604,0.0149593,0.00494958,1,1,1,28,28,28
95000,0.0131308,0.0147506,0.00501465,1,1,1,42,42,42
95000,0.00867113,0.0147088,0.00495224,1,1,1,27,27,27
95000,0.00936909,0.0147283,0.00494685,1,1,1,29,29,29
95000,0.00923206,0.0146814,0.00498695,1,1,1,29,29,29
95000,0.0110124,0.0147624,0.00493873,1,1,1,35,35,35
95000,0.01064,0.0146924,0.00492796,1,1,1,33,33,33
95000,0.0109894,0.0147495,0.00494906,1,1,1,35,35,35
95000,0.0115986,0.0147446,0.00494929,1,1,1,37,37,37
95000,0.00807561,0.0146764,0.00494499,1,1,1,25,25,25
100000,0.0116267,0.015766,0.00523587,1,1,1,35,35,35
100000,0.0121809,0.0155219,0.00521622,1,1,1,37,37,37
100000,0.0124997,0.0155039,0.00524641,1,1,1,38,38,38
100000,0.0106431,0.015549,0.00519391,1,1,1,31,31,31
100000,0.00940975,0.0154847,0.0052336,1,1,1,28,28,28
100000,0.0094028,0.0155919,0.00524732,1,1,1,28,28,28
100000,0.00950563,0.0154144,0.00526912,1,1,1,28,28,28
100000,0.0105611,0.0155099,0.00522305,1,1,1,31,31,31
100000,0.0106388,0.0155998,0.00521852,1,1,1,32,32,32
100000,0.0112508,0.0155589,0.00520946,1,1,1,34,34,34
105000,0.0100499,0.0167089,0.00550506,1,1,1,28,28,28
105000,0.0115015,0.0164793,0.00556699,1,1,1,32,32,32
105000,0.0123757,0.0164504,0.00549043,1,1,1,35,35,35
105000,0.0120489,0.0164038,0.00549529,1,1,1,34,34,34
105000,0.0107572,0.0162961,0.00552393,1,1,1,30,30,30
105000,0.010962,0.0162999,0.00548413,1,1,1,31,31,31
105000,0.0116219,0.0164317,0.00549388,1,1,1,33,33,33
105000,0.00924754,0.0163233,0.00549259,1,1,1,26,26,26
105000,0.0111173,0.0163683,0.00549079,1,1,1,31,31,31
105000,0.00925498,0.0162864,0.00548408,1,1,1,26,26,26
110000,0.0104418,0.017756,0.00577766,1,1,1,28,28,28
110000,0.0130416,0.0171789,0.00574426,1,1,1,36,36,36
110000,0.012405,0.0171847,0.00577367,1,1,1,34,34,34
110000,0.0120732,0.0172387,0.00573353,1,1,1,33,33,33
110000,0.0127098,0.0173234,0.00579405,1,1,1,35,35,35
110000,0.0133436,0.0172886,0.00573205,1,1,1,36,36,36
110000,0.01277,0.017184,0.00576016,1,1,1,35,35,35
110000,0.0100129,0.0172076,0.00575073,1,1,1,27,27,27
110000,0.0121028,0.0171886,0.00582375,1,1,1,33,33,33
110000,0.0128381,0.0171995,0.00580459,1,1,1,35,35,35
115000,0.0111507,0.0182996,0.00605138,1,1,1,28,28,28
115000,0.0108116,0.0179403,0.00602894,1,1,1,28,28,28
115000,0.0112757,0.0180064,0.00602381,1,1,1,29,29,29
115000,0.0110791,0.0181131,0.0060174,1,1,1,28,28,28
115000,0.0115413,0.0180679,0.0059998,1,1,1,30,30,30
115000,0.0115345,0.0180809,0.00606884,1,1,1,30,30,30
115000,0.0142763,0.018012,0.0060105,1,1,1,37,37,37
115000,0.010861,0.0179313,0.00599831,1,1,1,28,28,28
115000,0.0111759,0.0180409,0.00604748,1,1,1,29,29,29
115000,0.0131901,0.0179172,0.00600603,1,1,1,34,34,34
120000,0.0121047,0.0192833,0.00629948,1,1,1,30,30,30
120000,0.0112052,0.0190587,0.0062663,1,1,1,27,27,27
120000,0.014624,0.0187643,0.00626646,1,1,1,37,37,37
120000,0.0146098,0.0188936,0.00629367,1,1,1,37,37,37
120000,0.0134109,0.0186953,0.00626922,1,1,1,33,33,33
120000,0.0127303,0.0188166,0.00626472,1,1,1,32,32,32
120000,0.0119234,0.0187546,0.00630791,1,1,1,29,29,29
120000,0.0153436,0.018871,0.00636375,1,1,1,39,39,39
120000,0.0120388,0.0189608,0.00641845,1,1,1,30,30,30
120000,0.0109727,0.019039,0.00634506,1,1,1,27,27,27
125000,0.01481,0.0201332,0.00665,1,1,1,35,35,35
125000,0.0129741,0.0197063,0.00662654,1,1,1,31,31,31
125000,0.0110357,0.0197166,0.00666367,1,1,1,26,26,26
125000,0.011373,0.0198301,0.00657759,1,1,1,27,27,27
125000,0.011283,0.0197431,0.00666407,1,1,1,26,26,26
125000,0.0153135,0.0197419,0.00663433,1,1,1,37,37,37
125000,0.0110107,0.0197981,0.00662325,1,1,1,26,26,26
125000,0.0109908,0.0197173,0.00659603,1,1,1,26,26,26
125000,0.014859,0.0197523,0.00662688,1,1,1,36,36,36
125000,0.0125447,0.01975,0.00660621,1,1,1,30,30,30
130000,0.0131247,0.0210188,0.00689237,1,1,1,30,30,30
130000,0.0140849,0.0204704,0.00683674,1,1,1,33,33,33
130000,0.0123237,0.0205116,0.00689359,1,1,1,29,29,29
130000,0.0155524,0.0205376,0.00682135,1,1,1,37,37,37
130000,0.0143008,0.0205137,0.00687562,1,1,1,34,34,34
130000,0.0125744,0.0205362,0.00695798,1,1,1,29,29,29
130000,0.0147467,0.0205427,0.00687524,1,1,1,35,35,35
130000,0.0128299,0.020478,0.00684545,1,1,1,30,30,30
130000,0.0116426,0.0205625,0.00692516,1,1,1,27,27,27
130000,0.0134815,0.0204436,0.00680785,1,1,1,32,32,32
135000,0.0152877,0.0219317,0.00719222,1,1,1,33,33,33
135000,0.0135641,0.0214753,0.00711612,1,1,1,30,30,30
135000,0.0131025,0.0214898,0.00718735,1,1,1,29,29,29
135000,0.0110345,0.0213518,0.00709265,1,1,1,24,24,24
135000,0.0131189,0.0213307,0.00712893,1,1,1,29,29,29
135000,0.0156046,0.0215318,0.00713397,1,1,1,35,35,35
135000,0.0127122,0.0213267,0.00706226,1,1,1,28,28,28
135000,0.0106159,0.0213873,0.00704968,1,1,1,23,23,23
135000,0.016436,0.021481,0.00719954,1,1,1,37,37,37
135000,0.0150489,0.0215536,0.00720658,1,1,1,33,33,33
140000,0.0131476,0.0225673,0.00740207,1,1,1,27,27,27
140000,0.0131681,0.0221823,0.00740737,1,1,1,28,28,28
140000,0.017483,0.0223203,0.00742469,1,1,1,38,38,38
140000,0.0161791,0.0224608,0.00744175,1,1,1,35,35,35
140000,0.0166412,0.0221288,0.00742648,1,1,1,36,36,36
140000,0.0162365,0.0222713,0.00749312,1,1,1,35,35,35
140000,0.0153297,0.0222535,0.00737474,1,1,1,33,33,33
140000,0.0148788,0.0222169,0.00739217,1,1,1,32,32,32
140000,0.013612,0.0221011,0.00733929,1,1,1,29,29,29
140000,0.0153204,0.0222542,0.00730808,1,1,1,33,33,33
145000,0.0133254,0.0234681,0.00754233,1,1,1,27,27,27
145000,0.0154243,0.0230109,0.0076031,1,1,1,32,32,32
145000,0.0176712,0.0229319,0.00763097,1,1,1,37,37,37
145000,0.0140705,0.0229508,0.00758682,1,1,1,29,29,29
145000,0.0154091,0.0227708,0.00765272,1,1,1,32,32,32
145000,0.0154632,0.0231762,0.00765738,1,1,1,32,32,32
145000,0.016775,0.0230551,0.00764009,1,1,1,35,35,35
145000,0.0167882,0.022945,0.00753063,1,1,1,35,35,35
145000,0.0179937,0.0229917,0.00761107,1,1,1,37,37,37
145000,0.0189724,0.0230751,0.00755686,1,1,1,40,40,40
150000,0.0167595,0.0242137,0.00783718,1,1,1,32,32,32
150000,0.012718,0.0239938,0.00790642,1,1,1,25,25,25
150000,0.0151838,0.0238743,0.00793922,1,1,1,30,30,30
150000,0.0160031,0.0239252,0.00787275,1,1,1,32,32,32
150000,0.012748,0.0239606,0.00787689,1,1,1,25,25,25
150000,0.0182591,0.0240075,0.00796871,1,1,1,37,37,37
150000,0.015047,0.0239004,0.00789053,1,1,1,30,30,30
